time,volatage(V),current(A),temperature(C),irradiance(W/m^2),state
23/04/2025,68.32,8.326,81,748.6,unsafe
23/04/2025,71.83,9.5,54,957.6,safe
23/04/2025,63.35,8.93,72,365.8,safe
23/04/2025,71.95,8.215,62,901.7,unsafe
23/04/2025,68.04,13.938,49,244.7,safe
23/04/2025,68.8,9.153,79,318.9,warning
23/04/2025,71.11,10.22,48,980.3,unsafe
23/04/2025,67.99,9.586,57,690.8,unsafe
23/04/2025,71.44,9.292,61,652.1,warning
23/04/2025,65.2,11.544,80,293.2,warning
23/04/2025,60.84,12.613,58,262.1,warning
23/04/2025,66.54,12.034,60,383.4,warning
23/04/2025,65.52,10.103,46,1027.7,safe
23/04/2025,60.74,10.34,40,222.3,unsafe
23/04/2025,65.56,10.527,40,868.5,warning
23/04/2025,62.99,13.192,70,423.6,warning
23/04/2025,62.34,10.692,73,380.6,unsafe
23/04/2025,62.82,8.014,55,465.2,unsafe
23/04/2025,61.69,11.221,81,431.2,warning
23/04/2025,71.67,11.372,45,708.2,unsafe
23/04/2025,68.27,12.709,54,696.5,safe
23/04/2025,61.41,8.731,76,216.7,unsafe
23/04/2025,71.66,10.109,77,444.7,warning
23/04/2025,65.59,9.661,71,951.9,warning
23/04/2025,60.38,13.038,85,548.2,warning
23/04/2025,64.95,10.384,80,297.5,safe
23/04/2025,70.69,12.955,67,522.8,warning
23/04/2025,70,12.826,47,749.4,unsafe
23/04/2025,66.75,11.367,67,772.8,safe
23/04/2025,70.32,11.954,81,855.4,unsafe
23/04/2025,60.1,9.457,59,317.3,safe
23/04/2025,61.15,13.52,49,798.4,safe
23/04/2025,66.76,11.668,69,223.6,unsafe
23/04/2025,68.61,12.802,76,707.3,warning
23/04/2025,66.89,12.194,40,314.8,unsafe
23/04/2025,62,9.73,66,523.2,unsafe
23/04/2025,65.87,11.2,73,315.9,safe
23/04/2025,63.8,13.841,48,489,unsafe
23/04/2025,61.68,10.514,46,906.7,safe
23/04/2025,66.61,13.831,41,650.4,safe
23/04/2025,63.95,8.364,59,689,safe
23/04/2025,63.61,8.981,40,259.4,warning
23/04/2025,62.15,13.549,46,582.8,warning
23/04/2025,68.52,11.129,58,667.7,warning
23/04/2025,69.05,10.7,66,899.9,safe
23/04/2025,70.31,11.531,41,736.7,warning
23/04/2025,71.96,8.876,82,777.7,unsafe
23/04/2025,65.77,12.453,40,695.8,safe
23/04/2025,71.07,12.814,75,977.4,safe
23/04/2025,71.95,9.023,50,261.1,safe
23/04/2025,71.68,8.06,65,998.2,unsafe
23/04/2025,61.56,11.942,51,504.7,unsafe
23/04/2025,65.89,10.11,84,443,safe
23/04/2025,71.65,11.76,71,796.8,warning
23/04/2025,61.76,12.568,50,384.8,unsafe
23/04/2025,71.36,13.253,80,785.1,warning
23/04/2025,65.74,12.552,54,216.9,safe
23/04/2025,60.31,8.524,41,1072.5,unsafe
23/04/2025,67.22,12.504,73,362.6,unsafe
23/04/2025,60.79,12.947,67,857.4,safe
23/04/2025,61.53,12.054,42,852.2,unsafe
23/04/2025,69.98,10.65,40,808.9,unsafe
23/04/2025,67.75,8.873,64,450.7,safe
23/04/2025,65.65,12.119,72,452.1,warning
23/04/2025,62.57,11.553,45,477.5,safe
23/04/2025,60.05,8.458,41,484.8,unsafe
23/04/2025,68.16,8.027,72,928.4,safe
23/04/2025,71.64,10.17,66,667.3,warning
23/04/2025,65.01,10.936,44,311.2,safe
23/04/2025,67.32,8.4,52,499.2,safe
23/04/2025,67.98,11.735,77,430.9,unsafe
23/04/2025,67.81,12.001,50,430.5,safe
23/04/2025,63.48,10.695,59,700.4,unsafe
23/04/2025,70.52,9.443,69,870.3,safe
23/04/2025,62.69,11.91,41,843.8,safe
23/04/2025,71.92,9.299,51,1093,safe
23/04/2025,71.68,10.564,40,438.2,unsafe
23/04/2025,64.61,8.352,48,712.7,safe
23/04/2025,65.14,9.927,80,315.8,unsafe
23/04/2025,63.61,13.276,61,1014,safe
23/04/2025,68.07,8.618,68,570.2,safe
23/04/2025,69.48,10.399,43,253.6,unsafe
23/04/2025,61.78,8.075,43,804.4,warning
23/04/2025,69.28,10.778,51,769.7,unsafe
23/04/2025,69.55,10.275,74,818,unsafe
23/04/2025,67.67,10.427,79,639.4,warning
23/04/2025,60.5,13.711,50,1096.7,warning
23/04/2025,68.67,11.056,56,494,unsafe
23/04/2025,71.8,9.586,79,875,unsafe
23/04/2025,70.12,13.994,75,225.1,warning
23/04/2025,65.26,13.563,52,281.9,safe
23/04/2025,70.91,8.319,82,828.5,safe
23/04/2025,64.59,10.978,72,748.3,warning
23/04/2025,71.37,10.751,61,216.9,unsafe
23/04/2025,64.89,10.589,42,774.4,unsafe
23/04/2025,68.9,8.94,51,298.3,safe
23/04/2025,68.81,10.906,70,470,unsafe
23/04/2025,60.13,9.034,77,1088.4,unsafe
23/04/2025,69.04,8.086,81,301.4,unsafe
23/04/2025,69.7,11.959,58,292.6,warning
23/04/2025,69.34,8.412,51,535.6,safe
23/04/2025,70.77,9.299,46,361.3,safe
23/04/2025,71.96,9.398,62,605,safe
23/04/2025,66.77,13.427,77,1076.4,safe
23/04/2025,63.25,13.885,55,789.8,unsafe
23/04/2025,66.1,10.478,84,975.8,warning
23/04/2025,71.12,12.67,41,733.1,unsafe
23/04/2025,69.98,12.996,63,807.8,unsafe
23/04/2025,62.75,12.291,64,328.6,unsafe
23/04/2025,60.33,10.224,76,638.8,safe
23/04/2025,62.22,8.632,63,951.6,safe
23/04/2025,64.09,12.635,66,200.2,unsafe
23/04/2025,67.15,9.311,48,402.6,unsafe
23/04/2025,60.85,10.436,57,769.8,warning
23/04/2025,63.03,10.646,42,1052.1,unsafe
23/04/2025,71.4,9.096,81,544.1,warning
23/04/2025,66.03,11.956,75,501.8,safe
23/04/2025,61.53,13.659,77,700.2,warning
23/04/2025,61.05,9.349,47,940.3,unsafe
23/04/2025,65.81,8.407,68,808.6,unsafe
23/04/2025,61.04,8.781,56,455.6,unsafe
23/04/2025,64.94,8.662,48,789.5,unsafe
23/04/2025,61.18,10.744,60,700,safe
23/04/2025,70.49,11.883,51,784.7,unsafe
23/04/2025,71.13,9.697,47,226.6,safe
23/04/2025,65.03,13.891,83,427.1,unsafe
23/04/2025,63.11,13.798,41,551.4,unsafe
23/04/2025,63.46,11.185,59,867.3,safe
23/04/2025,62.69,10.946,79,944.9,warning
23/04/2025,65.52,10.022,76,287.9,safe
23/04/2025,70.74,12.374,56,767.8,unsafe
23/04/2025,71.03,10.085,65,302.8,unsafe
23/04/2025,70,10.574,79,482.8,unsafe
23/04/2025,65.56,13.12,66,477.4,unsafe
23/04/2025,61,9.015,68,775.4,unsafe
23/04/2025,69.73,13.719,70,608.4,warning
23/04/2025,63.48,11.891,74,1083.2,unsafe
23/04/2025,64.16,9.582,81,1006.6,unsafe
23/04/2025,61.93,12.705,79,718.6,unsafe
23/04/2025,67.92,11.715,64,1047.3,warning
23/04/2025,64.27,13.962,52,233.4,warning
23/04/2025,68.82,11.272,60,667.5,safe
23/04/2025,68.49,11.788,75,431.3,safe
23/04/2025,70.93,9.954,63,1052.5,warning
23/04/2025,61.9,8.774,73,509.4,safe
23/04/2025,63.7,13.513,48,243.2,warning
23/04/2025,64.95,9.218,43,926.2,safe
23/04/2025,69.69,11.839,65,1008.1,safe
23/04/2025,70.28,9.704,85,432.3,safe
23/04/2025,66.33,13.35,62,916.8,warning
23/04/2025,70.08,11.753,69,762.6,safe
23/04/2025,67.13,10.589,51,992.3,safe
23/04/2025,71.02,9.663,79,595.4,unsafe
23/04/2025,60.4,10.016,53,510.2,unsafe
23/04/2025,65.67,13.04,62,460.4,unsafe
23/04/2025,69.19,10.338,66,346,unsafe
23/04/2025,63.28,9.604,42,285.7,unsafe
23/04/2025,71.92,8.531,67,248,safe
23/04/2025,66.19,9.066,40,454.7,warning
23/04/2025,60.17,12.312,74,771.8,warning
23/04/2025,69.69,12.418,72,547.7,safe
23/04/2025,63.35,9.475,78,642.4,safe
23/04/2025,64.66,12.149,56,489.5,warning
23/04/2025,67.82,11.935,61,945.5,unsafe
23/04/2025,63.3,12.623,40,471.4,warning
23/04/2025,64.19,9.423,75,831.5,safe
23/04/2025,68.35,12.021,44,987.7,unsafe
23/04/2025,65.98,10.684,73,1004,warning
23/04/2025,71.44,13.966,49,344.7,unsafe
23/04/2025,65.15,8.325,49,761.1,unsafe
23/04/2025,63.84,10.814,83,383.3,safe
23/04/2025,60.88,11.76,46,1000.6,warning
24/04/2025,69.13,10.227,59,475.3,safe
24/04/2025,70.05,8.078,46,468.7,warning
24/04/2025,60.91,9.826,79,259.8,safe
24/04/2025,68.27,13.77,50,204.8,warning
24/04/2025,64.27,11.047,62,294.7,warning
24/04/2025,69.82,10.59,44,920.5,safe
24/04/2025,71.77,11.026,81,596.3,warning
24/04/2025,63.72,8.967,73,775.5,unsafe
24/04/2025,67.21,10.684,73,585.2,warning
24/04/2025,65.26,11.551,57,755.2,safe
24/04/2025,69.72,8.205,44,385.9,unsafe
24/04/2025,71.77,13.43,53,407.5,warning
24/04/2025,62.75,12.835,85,1051.4,unsafe
24/04/2025,66.7,10.431,64,463.6,warning
24/04/2025,67.67,11.348,74,641.3,safe
24/04/2025,62.84,10.867,50,210.3,warning
24/04/2025,68.85,11.017,77,669,safe
24/04/2025,67.12,10.471,47,318.6,warning
24/04/2025,70.12,8.546,57,466.8,unsafe
24/04/2025,67.71,11.287,44,425.3,warning
24/04/2025,61.09,12.025,56,830.4,safe
24/04/2025,65.96,12.501,64,736.6,unsafe
24/04/2025,61.06,12.558,71,761.1,safe
24/04/2025,67.04,13.028,82,297.1,warning
24/04/2025,62.57,13.164,57,256.6,unsafe
24/04/2025,64.02,8.948,70,416.5,safe
24/04/2025,65.67,8.158,52,586.2,safe
24/04/2025,68.07,11.613,65,970.5,unsafe
24/04/2025,71.74,10.559,41,389.8,unsafe
24/04/2025,69.77,12.277,45,898.5,safe
24/04/2025,61.77,13.408,56,756.2,safe
24/04/2025,69.05,12.372,56,961,unsafe
24/04/2025,71.23,10.115,67,317.4,safe
24/04/2025,67.22,10.54,74,1010.6,safe
24/04/2025,67.96,9.255,66,455.6,warning
24/04/2025,67.46,9.921,71,318.2,safe
24/04/2025,64.02,9.13,75,385,warning
24/04/2025,63.26,13.684,44,347,unsafe
24/04/2025,65.75,13.828,81,493.1,unsafe
24/04/2025,63.68,9.131,50,497.6,warning
24/04/2025,68.8,13.059,55,794.1,safe
24/04/2025,62.7,10.849,40,1093.7,unsafe
24/04/2025,66.69,13.137,68,537.7,safe
24/04/2025,69.88,9.588,56,445.4,warning
24/04/2025,61.73,11.6,79,538.6,safe
24/04/2025,64.24,13.629,56,950.7,safe
24/04/2025,69.66,9.796,79,451.3,warning
24/04/2025,63.95,8.683,40,468.6,warning
24/04/2025,71.88,13.919,74,818.1,warning
24/04/2025,71.81,11.622,49,459.7,unsafe
24/04/2025,70.04,8.047,58,373.8,warning
24/04/2025,68.27,10.129,77,482.1,unsafe
24/04/2025,67.52,11.232,60,313.2,warning
24/04/2025,66.52,9.607,56,684.4,warning
24/04/2025,68.55,13.252,50,574.2,safe
24/04/2025,62.7,13.188,44,532.8,unsafe
24/04/2025,66.96,8.622,48,1050.3,warning
24/04/2025,60.03,12.103,81,718.2,warning
24/04/2025,61.82,10.032,69,661.7,warning
24/04/2025,70.65,11.431,43,685.5,safe
24/04/2025,61.52,12.757,50,658.9,unsafe
24/04/2025,62.93,11.042,60,761.5,safe
24/04/2025,69.11,9.515,62,328.7,warning
24/04/2025,60.74,10.706,72,732.2,safe
24/04/2025,69.45,13.163,40,332,unsafe
24/04/2025,66.22,8.118,61,602,safe
24/04/2025,70.89,13.519,82,786.5,warning
24/04/2025,61.1,12.437,63,379.8,unsafe
24/04/2025,70.46,10.667,49,818.5,unsafe
24/04/2025,65.66,11.325,46,467.2,unsafe
24/04/2025,70.18,9.232,62,242,safe
24/04/2025,63.98,9.133,60,308.9,safe
24/04/2025,69.66,13.788,49,397.5,warning
24/04/2025,67.57,9.547,40,242.9,unsafe
24/04/2025,63.88,13.631,65,538.2,warning
24/04/2025,64.33,11.821,81,216.7,unsafe
24/04/2025,70.48,9.617,42,365,warning
24/04/2025,63.66,8.71,63,216.8,safe
24/04/2025,66.26,12.061,78,494.9,warning
24/04/2025,66.64,8.156,69,972.8,unsafe
24/04/2025,68.9,12.643,50,730,warning
24/04/2025,66.88,10.985,70,463.4,warning
24/04/2025,71.19,10.89,82,781.5,warning
24/04/2025,60.45,9.002,43,781.3,unsafe
24/04/2025,71.1,11.576,77,204.2,warning
24/04/2025,66.19,10.5,82,970.2,safe
24/04/2025,65.3,13.322,47,921.6,warning
24/04/2025,71.55,11.107,83,982,warning
24/04/2025,63.17,11.516,42,1073.1,unsafe
24/04/2025,71.4,8.328,53,857.7,unsafe
24/04/2025,67.33,9.008,85,925.6,warning
24/04/2025,62.64,12.556,71,571.7,warning
24/04/2025,71.08,10.936,60,263.9,unsafe
24/04/2025,60.34,9.696,80,1098.7,warning
24/04/2025,66.4,10.131,78,200.6,safe
24/04/2025,69.74,8.982,59,348.9,unsafe
24/04/2025,70.15,9.813,49,575.9,unsafe
24/04/2025,65.86,9.735,76,657.6,unsafe
24/04/2025,61.79,11.294,56,267.8,warning
24/04/2025,64.45,11.795,62,985.2,unsafe
24/04/2025,68.65,11.965,54,396.1,safe
24/04/2025,63.89,13.751,41,346.3,warning
24/04/2025,62.96,11.03,48,667.9,safe
24/04/2025,60.68,8.003,51,200.6,unsafe
24/04/2025,65.69,12.756,42,744.1,warning
24/04/2025,62.04,11.819,40,953.1,unsafe
24/04/2025,68.27,9.941,79,515,warning
24/04/2025,69.14,8.496,56,566.3,warning
24/04/2025,71.17,12.614,71,889.7,unsafe
24/04/2025,69.77,13.794,53,666.4,unsafe
24/04/2025,65.26,9.434,58,268.8,unsafe
24/04/2025,63.75,8.524,73,501.9,safe
24/04/2025,64.5,11.324,71,654.1,unsafe
24/04/2025,67.45,9.575,79,399.9,safe
24/04/2025,69.04,8.727,61,278,warning
24/04/2025,61.74,9.967,43,1093.8,warning
24/04/2025,65.94,13.551,76,703.4,warning
24/04/2025,70.33,13.956,50,207.8,safe
24/04/2025,69.11,12.358,61,1061.8,warning
24/04/2025,69.79,11.67,78,630.5,unsafe
24/04/2025,64.85,10.571,54,609,safe
24/04/2025,67.86,11.682,50,342.6,warning
24/04/2025,60.81,13.648,54,651.5,unsafe
24/04/2025,71.38,10.886,52,458.5,unsafe
24/04/2025,61.53,13.702,45,545.1,safe
24/04/2025,64.63,11.538,49,753.2,safe
24/04/2025,62.87,12.296,66,454.7,safe
24/04/2025,62.87,13.769,81,624,safe
24/04/2025,71.42,13.014,64,201.2,safe
24/04/2025,69.92,9.196,70,1095.4,warning
24/04/2025,67.48,9.123,73,512.6,safe
24/04/2025,62.13,13.587,61,407.3,unsafe
24/04/2025,68.76,12.206,73,928.5,warning
24/04/2025,70.83,13.314,41,762.3,warning
24/04/2025,67.4,13.775,67,281,warning
24/04/2025,68.19,13.744,75,875.4,unsafe
24/04/2025,69.45,13.919,63,754.4,safe
24/04/2025,69.65,12.867,49,656.6,unsafe
24/04/2025,66.69,10.326,78,996.4,warning
24/04/2025,70.37,8.755,59,752.3,unsafe
24/04/2025,60.87,12.051,64,559.3,safe
24/04/2025,64.61,9.721,54,818,safe
24/04/2025,62.2,11.543,46,767.9,safe
24/04/2025,65.99,13.129,61,839.1,unsafe
24/04/2025,66.44,13.009,85,258.5,safe
24/04/2025,60.4,10.517,85,713,safe
24/04/2025,64.65,8.97,62,573.1,warning
24/04/2025,69.09,10.696,47,744.4,unsafe
24/04/2025,63.58,8.382,68,385.8,warning
24/04/2025,70.63,9.331,79,996.3,warning
24/04/2025,63.12,13.51,55,590.9,warning
24/04/2025,70.19,12.851,67,398.3,safe
24/04/2025,67.23,10.835,42,447.3,warning
24/04/2025,64.25,11.513,68,573.6,warning
24/04/2025,63.16,8.797,64,530,warning
24/04/2025,67.17,9.747,70,989.3,safe
24/04/2025,61.68,9.763,78,514.2,unsafe
24/04/2025,71.6,12.965,75,532.2,unsafe
24/04/2025,70.32,12.598,58,322.6,warning
24/04/2025,65.05,11.47,69,370.9,warning
24/04/2025,70.76,11.487,50,675.6,warning
24/04/2025,70.37,11.418,78,311.6,safe
24/04/2025,62.28,8.076,40,679.6,safe
24/04/2025,64.61,9.59,44,333,safe
24/04/2025,60.91,10.111,66,881.4,unsafe
24/04/2025,67.79,8.293,79,277.3,warning
24/04/2025,65.44,8.9,51,384.6,unsafe
24/04/2025,64.01,8.29,81,209.2,safe
24/04/2025,60.52,11.269,42,789.4,warning
24/04/2025,62.5,12.907,75,212.7,warning
24/04/2025,61.31,9.736,61,434.8,warning
24/04/2025,71.24,10.65,72,1040.7,unsafe
24/04/2025,60.7,13.966,46,767,warning
24/04/2025,63.01,8.03,49,833.3,unsafe
24/04/2025,67.68,11.75,84,387.4,safe
24/04/2025,66.07,8.692,80,809.8,unsafe
24/04/2025,65.41,9.601,59,244,unsafe
24/04/2025,70.11,11.057,64,438.9,warning
24/04/2025,71.2,9.325,51,816.4,safe
24/04/2025,69.7,13.071,44,455.3,safe
24/04/2025,65.7,8.933,84,505.1,safe
24/04/2025,60.31,13.522,52,628.6,unsafe
24/04/2025,61.55,12.588,84,400.4,safe
24/04/2025,71.43,9.135,83,1010.8,unsafe
24/04/2025,64.15,9.055,40,977.5,unsafe
24/04/2025,64.54,10.904,73,584.2,unsafe
24/04/2025,65.46,13.54,58,567,warning
24/04/2025,69.98,8.907,56,937.5,unsafe
24/04/2025,71.7,11.641,73,958.2,warning
24/04/2025,64.49,8.12,80,989.1,warning
24/04/2025,70.94,9.704,66,305.7,warning
24/04/2025,60.05,12.792,40,1058.5,unsafe
24/04/2025,65.08,13.507,61,248.6,unsafe
24/04/2025,68.14,10.179,60,280.9,warning
24/04/2025,64.28,8.242,55,377.8,warning
24/04/2025,70.21,9.607,70,389.8,safe
24/04/2025,63.79,8.944,81,1014.4,warning
24/04/2025,68.17,9.119,53,786.8,unsafe
24/04/2025,71.59,13.639,82,478,unsafe
24/04/2025,63.81,9.79,69,404.7,unsafe
24/04/2025,71.02,10.163,55,967.7,warning
24/04/2025,67.67,13.024,68,480.5,warning
24/04/2025,69.15,12.957,49,222.3,unsafe
24/04/2025,63.77,13.897,56,814.1,warning
24/04/2025,70.4,12.233,62,390.5,warning
24/04/2025,69.83,12.609,66,533.7,unsafe
24/04/2025,65.5,13.45,59,273.5,safe
24/04/2025,64.22,8.32,80,889.5,unsafe
24/04/2025,70.61,11.624,43,961.6,warning
24/04/2025,69.28,12.328,61,945.3,unsafe
24/04/2025,69.12,10.746,74,961.2,safe
24/04/2025,62.67,10.136,78,535.4,safe
24/04/2025,64.38,13.4,53,216,warning
24/04/2025,66.88,9.104,79,583.7,unsafe
24/04/2025,67.86,10.265,41,528.9,safe
24/04/2025,64.58,12.94,49,430.1,unsafe
24/04/2025,68.56,10.658,80,370.7,unsafe
24/04/2025,66.36,10.953,78,550.8,unsafe
24/04/2025,62.47,8.953,41,967.6,warning
24/04/2025,68.28,13.267,68,674.1,warning
24/04/2025,66.78,8.308,42,877.4,unsafe
24/04/2025,65.16,10.024,71,951.8,unsafe
24/04/2025,71.7,13,70,947.1,safe
24/04/2025,60.01,8.149,73,740.9,warning
24/04/2025,71.71,13.834,76,334.1,unsafe
24/04/2025,61.64,13.291,52,1078.3,unsafe
24/04/2025,69.45,9.232,54,466.9,warning
24/04/2025,62.3,10.788,40,714.7,warning
24/04/2025,62.53,9.667,56,500.3,unsafe
24/04/2025,69.78,13.887,44,837.3,safe
24/04/2025,71.96,11.828,80,735.4,unsafe
24/04/2025,66.11,13.77,76,510.5,unsafe
24/04/2025,61.62,9.72,64,370.3,unsafe
24/04/2025,68.76,8.407,74,637.3,warning
24/04/2025,63.24,9.134,84,925.4,safe
24/04/2025,68.21,10.252,57,1091.4,safe
24/04/2025,70.08,13.036,65,354.6,unsafe
24/04/2025,68.6,13.659,56,266.4,unsafe
24/04/2025,61.58,10.4,70,656.4,unsafe
24/04/2025,61.16,12.809,56,535,warning
24/04/2025,62.61,9.537,66,302.5,warning
24/04/2025,60.5,9.276,80,482.9,unsafe
24/04/2025,69.99,12.258,75,743.9,warning
24/04/2025,69.49,9.842,59,606.1,warning
24/04/2025,64.91,11.967,59,887.4,safe
24/04/2025,67.01,8.253,66,791.7,safe
24/04/2025,66.56,8.853,64,523.7,safe
24/04/2025,62.81,13.88,57,554.3,safe
24/04/2025,67.3,10.351,51,701.2,unsafe
24/04/2025,60.53,11.986,51,646.7,safe
24/04/2025,64.52,9.774,49,733.1,safe
24/04/2025,71.15,10.905,48,780.5,warning
24/04/2025,64.94,9.826,52,496.2,warning
24/04/2025,63.21,11.449,68,653.4,safe
24/04/2025,64.02,9.104,83,1047.1,unsafe
24/04/2025,61.37,11.924,73,737.6,unsafe
24/04/2025,63.3,10.421,50,441,unsafe
24/04/2025,64.74,8.881,58,395.7,unsafe
24/04/2025,66.16,8.646,77,270.8,warning
24/04/2025,60.97,13.772,75,670.4,safe
